split,label,manipulation,source_dataset,source_group,filename
train,authentic,none,synthetic_starter,0,source_0000_authentic.jpg
train,manipulated,copy_move,synthetic_starter,0,source_0000_copy_move.jpg
train,authentic,none,synthetic_starter,1,source_0001_authentic.jpg
train,manipulated,splice,synthetic_starter,1,source_0001_splice.jpg
train,authentic,none,synthetic_starter,2,source_0002_authentic.jpg
train,manipulated,removal,synthetic_starter,2,source_0002_removal.jpg
train,authentic,none,synthetic_starter,3,source_0003_authentic.jpg
train,manipulated,retouch,synthetic_starter,3,source_0003_retouch.jpg
train,authentic,none,synthetic_starter,4,source_0004_authentic.jpg
train,manipulated,recompression,synthetic_starter,4,source_0004_recompression.jpg
train,authentic,none,synthetic_starter,5,source_0005_authentic.jpg
train,manipulated,copy_move,synthetic_starter,5,source_0005_copy_move.jpg
train,authentic,none,synthetic_starter,6,source_0006_authentic.jpg
train,manipulated,splice,synthetic_starter,6,source_0006_splice.jpg
train,authentic,none,synthetic_starter,7,source_0007_authentic.jpg
train,manipulated,removal,synthetic_starter,7,source_0007_removal.jpg
train,authentic,none,synthetic_starter,8,source_0008_authentic.jpg
train,manipulated,retouch,synthetic_starter,8,source_0008_retouch.jpg
train,authentic,none,synthetic_starter,9,source_0009_authentic.jpg
train,manipulated,recompression,synthetic_starter,9,source_0009_recompression.jpg
train,authentic,none,synthetic_starter,10,source_0010_authentic.jpg
train,manipulated,copy_move,synthetic_starter,10,source_0010_copy_move.jpg
train,authentic,none,synthetic_starter,11,source_0011_authentic.jpg
train,manipulated,splice,synthetic_starter,11,source_0011_splice.jpg
train,authentic,none,synthetic_starter,12,source_0012_authentic.jpg
train,manipulated,removal,synthetic_starter,12,source_0012_removal.jpg
train,authentic,none,synthetic_starter,13,source_0013_authentic.jpg
train,manipulated,retouch,synthetic_starter,13,source_0013_retouch.jpg
train,authentic,none,synthetic_starter,14,source_0014_authentic.jpg
train,manipulated,recompression,synthetic_starter,14,source_0014_recompression.jpg
train,authentic,none,synthetic_starter,15,source_0015_authentic.jpg
train,manipulated,copy_move,synthetic_starter,15,source_0015_copy_move.jpg
train,authentic,none,synthetic_starter,16,source_0016_authentic.jpg
train,manipulated,splice,synthetic_starter,16,source_0016_splice.jpg
train,authentic,none,synthetic_starter,17,source_0017_authentic.jpg
train,manipulated,removal,synthetic_starter,17,source_0017_removal.jpg
train,authentic,none,synthetic_starter,18,source_0018_authentic.jpg
train,manipulated,retouch,synthetic_starter,18,source_0018_retouch.jpg
train,authentic,none,synthetic_starter,19,source_0019_authentic.jpg
train,manipulated,recompression,synthetic_starter,19,source_0019_recompression.jpg
train,authentic,none,synthetic_starter,20,source_0020_authentic.jpg
train,manipulated,copy_move,synthetic_starter,20,source_0020_copy_move.jpg
train,authentic,none,synthetic_starter,21,source_0021_authentic.jpg
train,manipulated,splice,synthetic_starter,21,source_0021_splice.jpg
train,authentic,none,synthetic_starter,22,source_0022_authentic.jpg
train,manipulated,removal,synthetic_starter,22,source_0022_removal.jpg
train,authentic,none,synthetic_starter,23,source_0023_authentic.jpg
train,manipulated,retouch,synthetic_starter,23,source_0023_retouch.jpg
train,authentic,none,synthetic_starter,24,source_0024_authentic.jpg
train,manipulated,recompression,synthetic_starter,24,source_0024_recompression.jpg
train,authentic,none,synthetic_starter,25,source_0025_authentic.jpg
train,manipulated,copy_move,synthetic_starter,25,source_0025_copy_move.jpg
train,authentic,none,synthetic_starter,26,source_0026_authentic.jpg
train,manipulated,splice,synthetic_starter,26,source_0026_splice.jpg
train,authentic,none,synthetic_starter,27,source_0027_authentic.jpg
train,manipulated,removal,synthetic_starter,27,source_0027_removal.jpg
train,authentic,none,synthetic_starter,28,source_0028_authentic.jpg
train,manipulated,retouch,synthetic_starter,28,source_0028_retouch.jpg
train,authentic,none,synthetic_starter,29,source_0029_authentic.jpg
train,manipulated,recompression,synthetic_starter,29,source_0029_recompression.jpg
train,authentic,none,synthetic_starter,30,source_0030_authentic.jpg
train,manipulated,copy_move,synthetic_starter,30,source_0030_copy_move.jpg
train,authentic,none,synthetic_starter,31,source_0031_authentic.jpg
train,manipulated,splice,synthetic_starter,31,source_0031_splice.jpg
train,authentic,none,synthetic_starter,32,source_0032_authentic.jpg
train,manipulated,removal,synthetic_starter,32,source_0032_removal.jpg
train,authentic,none,synthetic_starter,33,source_0033_authentic.jpg
train,manipulated,retouch,synthetic_starter,33,source_0033_retouch.jpg
train,authentic,none,synthetic_starter,34,source_0034_authentic.jpg
train,manipulated,recompression,synthetic_starter,34,source_0034_recompression.jpg
train,authentic,none,synthetic_starter,35,source_0035_authentic.jpg
train,manipulated,copy_move,synthetic_starter,35,source_0035_copy_move.jpg
train,authentic,none,synthetic_starter,36,source_0036_authentic.jpg
